brand,name,old_price,new_price,ml,concentration,item_rating,seller,seller_rating,num_seller_ratings
Lattafa,Raghba Limited Edition EDP 100ml,"AED, ,39.00","AED, ,30.00, ",wrangle from name,wrangle from name,,noon,4,48.9K
VERSACE,Eros Flame EDP 50ml,"AED, ,319.00","AED, ,153.90, ",wrangle from name,wrangle from name,,noon,4,7.7K
VERSACE,Eros Pour Femme EDP 5ml,"AED, ,26.00","AED, ,19.95, ",wrangle from name,wrangle from name,,PERFUMES GALLERY,3.3,81
GUCCI,Flora EDT 50ml,"AED, ,375.00","AED, ,184.60, ",wrangle from name,wrangle from name,,Perfumery&Co,3.7,590
Ajmal,Viola EDP 75ml,"AED, ,999.00, ",,wrangle from name,wrangle from name,,Perfumery&Co,3.7,590
Samawa,khalta Fatima EDP 100ml,23.80,,wrangle from name,wrangle from name,,noon,4,7.7K
Givenchy,L'Interdit EDP For Women 80ml,540.00,265.70,wrangle from name,wrangle from name,,noon,4,7.7K
Mancera,Red EDP 120ml,347.00,311.95,wrangle from name,wrangle from name,,noon,4,7.7K
Rasasi,Hawas EDP 100ml,207.00,161.00,wrangle from name,wrangle from name,,Perfumery&Co,3.7,590
BURBERRY,London EDP 100ml,315.00,110.05,wrangle from name,wrangle from name,,noon,4,7.7K
MARGOUN,Aroma EDP Perfume 85ml,900.00,245.00,wrangle from name,wrangle from name,,MG.Store,3,2.3K
Lattafa,24-Carat White Gold EDP 100ml,"AED, ,99.00","AED, ,34.00, ",wrangle from name,wrangle from name,,noon,4,48.9K
CHANEL,Bleu De Chanel EDP 150ml,"AED, ,651.90, ",,wrangle from name,wrangle from name,,noon,4,7.7K
Guerlain,Mitsouko EDP 75ml,230.00,182.00,wrangle from name,wrangle from name,,Perfumery&Co,3.7,590
Givenchy,Dahlia Divin EDP 75ml,"AED, ,290.00","AED, ,204.70, ",wrangle from name,wrangle from name,,noon,4,7.7K
CHANEL,No 22 EDP 75ml,"AED, ,1192.60, ",,wrangle from name,wrangle from name,,noon,4,7.7K
MARGOUN,Avenge EDP Perfume 85ml,"AED, ,900.00","AED, ,245.00, ",wrangle from name,wrangle from name,,MG.Store,3,2.3K
S.T.Dupont,Passenger EDP 100ml,"AED, ,115.93","AED, ,75.80, ",wrangle from name,wrangle from name,,Perfumery&Co,3.7,590
PACO RABANNE,Black XS EDP 80ml,"AED, ,196.00","AED, ,169.00, ",wrangle from name,wrangle from name,,Beauty City Dist,3.6,26
Yves Saint Laurent,Mon Paris Couture EDP 50ml,"AED, ,413.00","AED, ,188.50, ",wrangle from name,wrangle from name,,Perfumery&Co,3.7,590
LA PERLA,In Rosa EDP 80ml,231.00,57.00,wrangle from name,wrangle from name,,noon,4,7.7K
MONTALE,Black Musk EDP 100ml,"AED, ,235.30, ",,wrangle from name,wrangle from name,,DJperfumes,3.5,1.7K
Amazing Creation,The Legend Perfume EDP 100ml,"AED, ,95.35, ",,wrangle from name,wrangle from name,,noon,4,7.7K
Amazing Creation,Sparkling Opal Perfume EDP 100ml,"AED, ,125.50, ",,wrangle from name,wrangle from name,,noon,4,7.7K
Amazing Creation,Absolu Guilty Perfume 100ml,"AED, ,105.00","AED, ,104.95, ",wrangle from name,wrangle from name,,noon,4,7.7K
Amazing Creation,Le Tresor Perfume EDP 100ml,"AED, ,95.35, ",,wrangle from name,wrangle from name,,noon,4,7.7K
Amazing Creation,T' Xedo Perfume EDP 100ml,"AED, ,94.50, ",,wrangle from name,wrangle from name,,noon,4,7.7K
Amazing Creation,Bleu D' Perfume EDP 100ml,"AED, ,105.00","AED, ,104.95, ",wrangle from name,wrangle from name,,noon,4,7.7K
Amazing Creation,Regnt Leather Perfume 100ml,"AED, ,116.00","AED, ,115.30, ",wrangle from name,wrangle from name,,noon,4,7.7K
Amazing Creation,Rose Rouge Perfume 100ml,"AED, ,116.00","AED, ,113.35, ",wrangle from name,wrangle from name,,noon,4,7.7K
Amazing Creation,N Rodz Perfume EDP 100ml,"AED, ,87.00","AED, ,86.15, ",wrangle from name,wrangle from name,,noon,4,7.7K
Amazing Creation,Sandal Ruby Perfume EDP 100ml,"AED, ,113.35, ",,wrangle from name,wrangle from name,,noon,4,7.7K
V Canto,Mirabile EDP 100ml,216.25,,wrangle from name,wrangle from name,,Perfumery&Co,3.7,590
Amazing Creation,Green Perfume 100ml,"AED, ,116.00","AED, ,104.95, ",wrangle from name,wrangle from name,,noon,4,7.7K
Amazing Creation,Le Elysiums Perfume EDP 100ml,"AED, ,115.40, ",,wrangle from name,wrangle from name,,noon,4,7.7K
Tiziana Terenzi,Lince EDP 100ml,446.00,364.00,wrangle from name,wrangle from name,,Fragrance House,3.5,246
